Subgroup,Oxcarbazepine Events,Oxcarbazepine Total,Carbamazepine Events,Carbamazepine Total
Filippo Donati 2007,17,55,8,28
Hanming Tu 2016,7,45,26,45
Jifen Wang 2020,7,40,19,40
Jingli Chai 2016,4,36,11,39
Wenjing Hu 2016,4,61,23,60
Yinbo Chen 2012,5,32,8,30
Yinbi Chen 2013,11,60,23,58
