Subgroup,Oxcarbazepine Events,Oxcarbazepine Total,Carbamazepine Events,Carbamazepine Total
Filippo Donati 2007,32,55,13,28
Hanming Tu 2016,29,45,27,45
Jifen Wang 2020,26,40,25,40
Jing Zhang 2015,80,88,62,72
Jingli Chai 2016,4,36,2,39
Nuchun Wang 2016,21,40,20,40
Wenjing Hu 2016,41,61,30,60
Yinbo Chen 2012,16,32,12,30
Yinbi Chen 2013,30,60,25,58
